status,accident_index,accident_year,accident_ref_no,vehicle_reference,vehicle_type,vehicle_text
Unvalidated,2021361075569,2021,361075569,1,90,Scooter - Electric Scooter
Unvalidated,2021401033317,2021,401033317,1,90,Scooter - Electric Scooter
Unvalidated,2021401039926,2021,401039926,1,90,Scooter - Electric Scooter
Unvalidated,2021401042068,2021,401042068,1,90,Scooter - Electric Scooter
Unvalidated,2021401050912,2021,401050912,2,90,Scooter - Electric Scooter
Unvalidated,2021401051801,2021,401051801,1,90,Scooter - Electric Scooter
Unvalidated,2021401052876,2021,401052876,1,90,Scooter - Electric Scooter
Unvalidated,2021401057906,2021,401057906,2,90,Scooter - Electric Scooter
Unvalidated,2021401061754,2021,401061754,2,90,Scooter - Electric Scooter
Unvalidated,2021411015923,2021,411015923,1,90,Scooter - Electric Scooter
Unvalidated,2021411018441,2021,411018441,1,90,Scooter - Electric Scooter
Unvalidated,2021411043497,2021,411043497,2,90,Scooter - Electric Scooter
Unvalidated,2021411043565,2021,411043565,2,90,Scooter - Electric Scooter
Unvalidated,2021411044376,2021,411044376,2,90,Scooter - Electric Scooter
Unvalidated,2021411044716,2021,411044716,1,90,Scooter - Electric Scooter
Unvalidated,2021411056309,2021,411056309,2,90,Scooter - Electric Scooter
Unvalidated,2021411059261,2021,411059261,2,90,Scooter - Electric Scooter
Unvalidated,2021411066513,2021,411066513,1,90,Scooter - Electric Scooter
Unvalidated,2021421022876,2021,421022876,1,90,Scooter - Electric Scooter
Unvalidated,2021421029630,2021,421029630,2,90,Scooter - Electric Scooter
Unvalidated,2021421031085,2021,421031085,2,90,Scooter - Electric Scooter
Unvalidated,2021421031806,2021,421031806,1,90,Scooter - Electric Scooter
Unvalidated,2021421033908,2021,421033908,1,90,Scooter - Electric Scooter
Unvalidated,2021421035446,2021,421035446,1,90,Scooter - Electric Scooter
Unvalidated,2021421037077,2021,421037077,1,90,Scooter - Electric Scooter
Unvalidated,2021421039286,2021,421039286,1,90,Scooter - Electric Scooter
Unvalidated,2021421039858,2021,421039858,1,90,Scooter - Electric Scooter
Unvalidated,2021421040918,2021,421040918,1,90,Scooter - Electric Scooter
Unvalidated,2021421042317,2021,421042317,1,90,Scooter - Electric Scooter
Unvalidated,2021421044255,2021,421044255,1,90,Scooter - Electric Scooter
Unvalidated,2021421048580,2021,421048580,1,90,Scooter - Electric Scooter
Unvalidated,2021421049027,2021,421049027,2,90,Scooter - Electric Scooter
Unvalidated,2021421049306,2021,421049306,2,90,Scooter - Electric Scooter
Unvalidated,2021421050501,2021,421050501,2,90,Scooter - Electric Scooter
Unvalidated,2021421052718,2021,421052718,2,90,Scooter - Electric Scooter
Unvalidated,2021421053968,2021,421053968,2,90,Scooter - Electric Scooter
Unvalidated,2021430026633,2021,430026633,1,90,Scooter - Electric Scooter
Unvalidated,2021430085478,2021,430085478,1,90,Scooter - Electric Scooter
Unvalidated,2021430099494,2021,430099494,2,90,Scooter - Electric Scooter
Unvalidated,2021430163518,2021,430163518,2,90,Scooter - Electric Scooter
Unvalidated,2021430167901,2021,430167901,2,90,Scooter - Electric Scooter
Unvalidated,2021430192588,2021,430192588,1,90,Scooter - Electric Scooter
Unvalidated,2021430196020,2021,430196020,1,90,Scooter - Electric Scooter
Unvalidated,2021430235475,2021,430235475,1,90,Scooter - Electric Scooter
Unvalidated,2021430253855,2021,430253855,2,90,Scooter - Electric Scooter
Unvalidated,2021430255453,2021,430255453,2,90,Scooter - Electric Scooter
Unvalidated,2021430257505,2021,430257505,1,90,Scooter - Electric Scooter
Unvalidated,2021430258727,2021,430258727,1,90,Scooter - Electric Scooter
Unvalidated,2021430263131,2021,430263131,2,90,Scooter - Electric Scooter
Unvalidated,2021440020361,2021,440020361,2,90,Scooter - Electric Scooter
Unvalidated,2021440098199,2021,440098199,1,90,Scooter - Electric Scooter
Unvalidated,2021440098429,2021,440098429,1,90,Scooter - Electric Scooter
Unvalidated,2021440100335,2021,440100335,1,90,Scooter - Electric Scooter
Unvalidated,2021440100818,2021,440100818,1,90,Scooter - Electric Scooter
Unvalidated,2021440104107,2021,440104107,1,90,Scooter - Electric Scooter
Unvalidated,2021440104107,2021,440104107,2,90,Scooter - Electric Scooter
Unvalidated,2021440109327,2021,440109327,1,90,Scooter - Electric Scooter
Unvalidated,2021440119741,2021,440119741,1,90,Scooter - Electric Scooter
Unvalidated,2021440124278,2021,440124278,1,90,Scooter - Electric Scooter
Unvalidated,2021440126566,2021,440126566,1,90,Scooter - Electric Scooter
Unvalidated,2021440137725,2021,440137725,2,90,Scooter - Electric Scooter
Unvalidated,2021440154001,2021,440154001,1,90,Scooter - Electric Scooter
Unvalidated,2021440158761,2021,440158761,1,90,Scooter - Electric Scooter
Unvalidated,2021440167583,2021,440167583,3,90,Scooter - Electric Scooter
Unvalidated,2021440178332,2021,440178332,2,90,Scooter - Electric Scooter
Unvalidated,2021440198620,2021,440198620,1,90,Scooter - Electric Scooter
Unvalidated,2021440208144,2021,440208144,1,90,Scooter - Electric Scooter
Unvalidated,2021451026586,2021,451026586,2,90,Scooter - Electric Scooter
Unvalidated,2021451031846,2021,451031846,1,90,Scooter - Electric Scooter
Unvalidated,2021451037607,2021,451037607,2,90,Scooter - Electric Scooter
Unvalidated,2021451057003,2021,451057003,1,90,Scooter - Electric Scooter
Unvalidated,2021461017252,2021,461017252,1,90,Scooter - Electric Scooter
Unvalidated,2021461030540,2021,461030540,1,90,Scooter - Electric Scooter
Unvalidated,2021461031665,2021,461031665,2,90,Scooter - Electric Scooter
Unvalidated,2021461033935,2021,461033935,2,90,Scooter - Electric Scooter
Unvalidated,2021461039489,2021,461039489,1,90,Scooter - Electric Scooter
Unvalidated,2021461040724,2021,461040724,2,90,Scooter - Electric Scooter
Unvalidated,2021461046657,2021,461046657,2,90,Scooter - Electric Scooter
Unvalidated,2021461046982,2021,461046982,3,90,Scooter - Electric Scooter
Unvalidated,2021461050818,2021,461050818,1,90,Scooter - Electric Scooter
Unvalidated,2021461059094,2021,461059094,1,90,Scooter - Electric Scooter
Unvalidated,2021461063105,2021,461063105,1,90,Scooter - Electric Scooter
Unvalidated,2021461064477,2021,461064477,1,90,Scooter - Electric Scooter
Unvalidated,2021461068323,2021,461068323,1,90,Scooter - Electric Scooter
Unvalidated,2021461077164,2021,461077164,1,90,Scooter - Electric Scooter
Unvalidated,2021471011668,2021,471011668,2,90,Scooter - Electric Scooter
Unvalidated,2021471013018,2021,471013018,2,90,Scooter - Electric Scooter
Unvalidated,2021471014268,2021,471014268,1,90,Scooter - Electric Scooter
Unvalidated,2021471014800,2021,471014800,1,90,Scooter - Electric Scooter
Unvalidated,2021471017031,2021,471017031,2,90,Scooter - Electric Scooter
Unvalidated,2021471021465,2021,471021465,1,90,Scooter - Electric Scooter
Unvalidated,2021471032720,2021,471032720,1,90,Scooter - Electric Scooter
Unvalidated,2021471039174,2021,471039174,1,90,Scooter - Electric Scooter
Unvalidated,2021471042082,2021,471042082,1,90,Scooter - Electric Scooter
Unvalidated,2021471047027,2021,471047027,2,90,Scooter - Electric Scooter
Unvalidated,2021471051936,2021,471051936,1,90,Scooter - Electric Scooter
Unvalidated,2021471053051,2021,471053051,2,90,Scooter - Electric Scooter
Unvalidated,2021471054855,2021,471054855,1,90,Scooter - Electric Scooter
Unvalidated,2021471059026,2021,471059026,1,90,Scooter - Electric Scooter
Unvalidated,2021471059631,2021,471059631,1,90,Scooter - Electric Scooter
Unvalidated,2021471059717,2021,471059717,1,90,Scooter - Electric Scooter
Unvalidated,2021481038405,2021,481038405,1,90,Scooter - Electric Scooter
Unvalidated,2021481066737,2021,481066737,2,90,Scooter - Electric Scooter
Unvalidated,2021481066779,2021,481066779,1,90,Scooter - Electric Scooter
Unvalidated,2021481066808,2021,481066808,1,90,Scooter - Electric Scooter
Unvalidated,2021501032890,2021,501032890,2,90,Scooter - Electric Scooter
Unvalidated,2021501044245,2021,501044245,1,90,Scooter - Electric Scooter
Unvalidated,2021501051661,2021,501051661,1,90,Scooter - Electric Scooter
Unvalidated,2021501066351,2021,501066351,1,90,Scooter - Electric Scooter
Unvalidated,2021501066426,2021,501066426,2,90,Scooter - Electric Scooter
Unvalidated,2021501076163,2021,501076163,2,90,Scooter - Electric Scooter
Unvalidated,2021522101792,2021,522101792,2,90,Scooter - Electric Scooter
Unvalidated,2021522101845,2021,522101845,2,90,Scooter - Electric Scooter
Unvalidated,2021522102196,2021,522102196,1,90,Scooter - Electric Scooter
Unvalidated,2021522102631,2021,522102631,1,90,Scooter - Electric Scooter
Unvalidated,2021522102644,2021,522102644,1,90,Scooter - Electric Scooter
Unvalidated,2021522102692,2021,522102692,2,90,Scooter - Electric Scooter
Unvalidated,2021522102780,2021,522102780,1,90,Scooter - Electric Scooter
Unvalidated,2021522103150,2021,522103150,1,90,Scooter - Electric Scooter
Unvalidated,2021522103418,2021,522103418,1,90,Scooter - Electric Scooter
Unvalidated,2021522103820,2021,522103820,2,90,Scooter - Electric Scooter
Unvalidated,2021531023850,2021,531023850,2,90,Scooter - Electric Scooter
Unvalidated,2021552100210,2021,552100210,1,90,Scooter - Electric Scooter
Unvalidated,2021552100274,2021,552100274,1,90,Scooter - Electric Scooter
Unvalidated,2021552100307,2021,552100307,2,90,Scooter - Electric Scooter
Unvalidated,2021552100326,2021,552100326,1,90,Scooter - Electric Scooter
Unvalidated,2021552100478,2021,552100478,1,90,Scooter - Electric Scooter
Unvalidated,2021552100572,2021,552100572,1,90,Scooter - Electric Scooter
Unvalidated,2021552100575,2021,552100575,1,90,Scooter - Electric Scooter
Unvalidated,2021552100629,2021,552100629,1,90,Scooter - Electric Scooter
Unvalidated,2021552100739,2021,552100739,2,90,Scooter - Electric Scooter
Unvalidated,2021622100260,2021,622100260,2,90,Scooter - Electric Scooter
Unvalidated,2021991032182,2021,991032182,1,90,Scooter - Electric Scooter
Unvalidated,2021991035659,2021,991035659,1,90,Scooter - Electric Scooter
