status,accident_index,accident_year,accident_ref_no,vehicle_reference,vehicle_type,vehicle_text
Unvalidated,2021010299269,2021,010299269,1,90,Scooter - Electric Scooter
Unvalidated,2021010299334,2021,010299334,2,90,Scooter - Electric Scooter
Unvalidated,2021010299581,2021,010299581,2,90,Scooter - Electric Scooter
Unvalidated,2021010299587,2021,010299587,1,90,Scooter - Electric Scooter
Unvalidated,2021010299713,2021,010299713,1,90,Scooter - Electric Scooter
Unvalidated,2021010299933,2021,010299933,2,90,Scooter - Electric Scooter
Unvalidated,2021010300039,2021,010300039,2,90,Scooter - Electric Scooter
Unvalidated,2021010300335,2021,010300335,2,90,Scooter - Electric Scooter
Unvalidated,2021010300341,2021,010300341,2,90,Scooter - Electric Scooter
Unvalidated,2021010300469,2021,010300469,2,90,Scooter - Electric Scooter
Unvalidated,2021010300849,2021,010300849,2,90,Scooter - Electric Scooter
Unvalidated,2021010301470,2021,010301470,2,90,Scooter - Electric Scooter
Unvalidated,2021010302025,2021,010302025,1,90,Scooter - Electric Scooter
Unvalidated,2021010302030,2021,010302030,2,90,Scooter - Electric Scooter
Unvalidated,2021010302058,2021,010302058,1,90,Scooter - Electric Scooter
Unvalidated,2021010302118,2021,010302118,2,90,Scooter - Electric Scooter
Unvalidated,2021010302194,2021,010302194,2,90,Scooter - Electric Scooter
Unvalidated,2021010302203,2021,010302203,1,90,Scooter - Electric Scooter
Unvalidated,2021010302208,2021,010302208,2,90,Scooter - Electric Scooter
Unvalidated,2021010302574,2021,010302574,2,90,Scooter - Electric Scooter
Unvalidated,2021010302590,2021,010302590,1,90,Scooter - Electric Scooter
Unvalidated,2021010302632,2021,010302632,2,90,Scooter - Electric Scooter
Unvalidated,2021010302726,2021,010302726,2,90,Scooter - Electric Scooter
Unvalidated,2021010302797,2021,010302797,2,90,Scooter - Electric Scooter
Unvalidated,2021010302971,2021,010302971,2,90,Scooter - Electric Scooter
Unvalidated,2021010302999,2021,010302999,1,90,Scooter - Electric Scooter
Unvalidated,2021010303341,2021,010303341,2,90,Scooter - Electric Scooter
Unvalidated,2021010303360,2021,010303360,2,90,Scooter - Electric Scooter
Unvalidated,2021010303365,2021,010303365,2,90,Scooter - Electric Scooter
Unvalidated,2021010303374,2021,010303374,1,90,Scooter - Electric Scooter
Unvalidated,2021010303396,2021,010303396,2,90,Scooter - Electric Scooter
Unvalidated,2021010303433,2021,010303433,2,90,Scooter - Electric Scooter
Unvalidated,2021010303598,2021,010303598,2,90,Scooter - Electric Scooter
Unvalidated,2021010303606,2021,010303606,2,90,Scooter - Electric Scooter
Unvalidated,2021010303626,2021,010303626,2,90,Scooter - Electric Scooter
Unvalidated,2021010303720,2021,010303720,2,90,Scooter - Electric Scooter
Unvalidated,2021010303757,2021,010303757,1,90,Scooter - Electric Scooter
Unvalidated,2021010303842,2021,010303842,2,90,Scooter - Electric Scooter
Unvalidated,2021010303916,2021,010303916,2,90,Scooter - Electric Scooter
Unvalidated,2021010304010,2021,010304010,2,90,Scooter - Electric Scooter
Unvalidated,2021010304028,2021,010304028,2,90,Scooter - Electric Scooter
Unvalidated,2021010304062,2021,010304062,2,90,Scooter - Electric Scooter
Unvalidated,2021010304217,2021,010304217,2,90,Scooter - Electric Scooter
Unvalidated,2021010304309,2021,010304309,1,90,Scooter - Electric Scooter
Unvalidated,2021010304372,2021,010304372,2,90,Scooter - Electric Scooter
Unvalidated,2021010304447,2021,010304447,1,90,Scooter - Electric Scooter
