status,accident_index,accident_year,accident_reference,vehicle_reference,casualty_reference,casualty_class,sex_of_casualty,age_of_casualty,age_band_of_casualty,casualty_severity,pedestrian_location,pedestrian_movement,car_passenger,bus_or_coach_passenger,pedestrian_road_maintenance_worker,casualty_type,casualty_home_area_type,casualty_imd_decile
Unvalidated,2021010287336,2021,010287336,2,1,1,1,40,7,3,0,0,0,0,0,9,1,3
Unvalidated,2021010287337,2021,010287337,2,1,1,1,66,10,2,0,0,0,0,0,1,1,6
Unvalidated,2021010287341,2021,010287341,1,1,1,1,20,4,1,0,0,0,0,0,9,1,3
Unvalidated,2021010287341,2021,010287341,1,2,2,1,25,5,2,0,0,1,0,0,9,1,7
Unvalidated,2021010287343,2021,010287343,1,1,1,1,33,6,3,0,0,0,0,0,9,1,2
Unvalidated,2021010287345,2021,010287345,1,1,1,1,19,4,3,0,0,0,0,0,9,1,2
Unvalidated,2021010287345,2021,010287345,1,2,2,1,19,4,2,0,0,1,0,0,9,1,1
Unvalidated,2021010287345,2021,010287345,1,3,2,1,19,4,3,0,0,2,0,0,9,1,1
Unvalidated,2021010287345,2021,010287345,1,4,2,1,19,4,3,0,0,2,0,0,9,1,3
Unvalidated,2021010287353,2021,010287353,2,1,1,1,22,5,3,0,0,0,0,0,2,1,2
Unvalidated,2021010287355,2021,010287355,2,1,1,2,58,9,2,0,0,0,0,0,9,1,9
Unvalidated,2021010287358,2021,010287358,2,1,1,1,48,8,3,0,0,0,0,0,3,1,2
Unvalidated,2021010287361,2021,010287361,2,1,1,2,28,6,3,0,0,0,0,0,1,1,1
Unvalidated,2021010287366,2021,010287366,1,1,1,2,24,5,3,0,0,0,0,0,1,1,5
Unvalidated,2021010287367,2021,010287367,1,1,1,1,26,6,3,0,0,0,0,0,9,1,6
Unvalidated,2021010287370,2021,010287370,1,1,3,2,53,8,3,5,3,0,0,0,0,1,2
Unvalidated,2021010287371,2021,010287371,2,1,1,1,41,7,2,0,0,0,0,0,3,1,2
Unvalidated,2021010287372,2021,010287372,1,1,1,1,24,5,3,0,0,0,0,0,1,1,7
Unvalidated,2021010287379,2021,010287379,1,1,1,1,26,6,3,0,0,0,0,0,3,1,1
Unvalidated,2021010287380,2021,010287380,2,1,1,1,26,6,3,0,0,0,0,0,1,1,1
Unvalidated,2021010287384,2021,010287384,1,1,1,1,48,8,3,0,0,0,0,0,8,1,4
Unvalidated,2021010287385,2021,010287385,1,1,2,2,-1,-1,3,0,0,9,0,0,9,1,7
Unvalidated,2021010287400,2021,010287400,1,1,3,2,52,8,2,4,3,0,0,0,0,1,3
Unvalidated,2021010287404,2021,010287404,2,1,1,1,25,5,3,0,0,0,0,0,3,1,1
Unvalidated,2021010287405,2021,010287405,1,1,1,1,28,6,3,0,0,0,0,0,19,1,5
Unvalidated,2021010287405,2021,010287405,1,2,2,1,38,7,3,0,0,0,0,0,19,1,2
Unvalidated,2021010287407,2021,010287407,1,1,1,1,46,8,2,0,0,0,0,0,1,1,6
Unvalidated,2021010287413,2021,010287413,1,1,1,1,42,7,3,0,0,0,0,0,9,1,4
Unvalidated,2021010287415,2021,010287415,1,1,1,1,22,5,3,0,0,0,0,0,9,-1,-1
Unvalidated,2021010287420,2021,010287420,1,1,1,1,28,6,3,0,0,0,0,0,9,1,9
Unvalidated,2021010287424,2021,010287424,1,1,1,1,33,6,3,0,0,0,0,0,9,1,2
Unvalidated,2021010287425,2021,010287425,1,1,1,1,46,8,3,0,0,0,0,0,9,1,3
Unvalidated,2021010287427,2021,010287427,1,1,1,1,20,4,3,0,0,0,0,0,5,1,4
Unvalidated,2021010287428,2021,010287428,1,1,2,2,35,6,3,0,0,2,0,0,9,1,2
Unvalidated,2021010287435,2021,010287435,1,1,1,1,58,9,3,0,0,0,0,0,1,1,8
Unvalidated,2021010287440,2021,010287440,1,1,1,1,41,7,3,0,0,0,0,0,9,1,3
Unvalidated,2021010287443,2021,010287443,1,1,2,1,78,11,3,0,0,0,3,0,11,1,8
Unvalidated,2021010287449,2021,010287449,1,1,1,1,36,7,3,0,0,0,0,0,20,1,4
Unvalidated,2021010287449,2021,010287449,2,2,1,1,35,6,2,0,0,0,0,0,1,1,4
Unvalidated,2021010287457,2021,010287457,1,1,1,2,23,5,3,0,0,0,0,0,3,1,3
Unvalidated,2021010287458,2021,010287458,1,1,1,1,30,6,3,0,0,0,0,0,9,1,3
Unvalidated,2021010287458,2021,010287458,2,2,1,2,50,8,3,0,0,0,0,0,9,1,9
Unvalidated,2021010287459,2021,010287459,1,1,1,1,47,8,3,0,0,0,0,0,3,1,2
Unvalidated,2021010287466,2021,010287466,1,1,1,1,19,4,3,0,0,0,0,0,1,1,1
Unvalidated,2021010287467,2021,010287467,1,1,1,2,38,7,3,0,0,0,0,0,9,1,7
Unvalidated,2021010287471,2021,010287471,1,1,1,1,19,4,3,0,0,0,0,0,90,1,4
Unvalidated,2021010287481,2021,010287481,1,1,1,2,29,6,3,0,0,0,0,0,1,1,9
Unvalidated,2021010287488,2021,010287488,2,1,1,2,62,9,2,0,0,0,0,0,9,3,10
Unvalidated,2021010287491,2021,010287491,1,1,1,1,20,4,3,0,0,0,0,0,2,1,3
Unvalidated,2021010287493,2021,010287493,1,1,1,1,26,6,3,0,0,0,0,0,9,1,3
Unvalidated,2021010287497,2021,010287497,1,1,3,1,33,6,3,1,9,0,0,0,0,1,1
Unvalidated,2021010287499,2021,010287499,2,1,1,1,69,10,2,0,0,0,0,0,4,1,3
Unvalidated,2021010287504,2021,010287504,1,1,3,2,16,4,3,1,1,0,0,0,0,1,2
Unvalidated,2021010287507,2021,010287507,2,1,1,1,25,5,3,0,0,0,0,0,1,1,3
Unvalidated,2021010287509,2021,010287509,1,1,1,1,29,6,3,0,0,0,0,0,9,1,4
Unvalidated,2021010287509,2021,010287509,1,2,2,2,-1,-1,3,0,0,1,0,0,9,1,-1
Unvalidated,2021010287511,2021,010287511,1,1,1,1,50,8,3,0,0,0,0,0,8,1,1
Unvalidated,2021010287512,2021,010287512,1,1,1,2,22,5,3,0,0,0,0,0,23,1,2
Unvalidated,2021010287514,2021,010287514,2,1,1,1,20,4,2,0,0,0,0,0,3,1,6
Unvalidated,2021010287516,2021,010287516,1,1,1,1,25,5,3,0,0,0,0,0,1,1,1
Unvalidated,2021010287516,2021,010287516,2,2,1,1,23,5,2,0,0,0,0,0,5,1,3
Unvalidated,2021010287517,2021,010287517,1,1,3,2,44,7,2,5,1,0,0,0,0,1,7
Unvalidated,2021010287518,2021,010287518,1,1,1,1,34,6,3,0,0,0,0,0,9,1,2
Unvalidated,2021010287525,2021,010287525,1,1,3,2,30,6,2,1,3,0,0,0,0,1,8
Unvalidated,2021010287527,2021,010287527,1,1,1,2,28,6,3,0,0,0,0,0,9,1,1
Unvalidated,2021010287529,2021,010287529,1,1,1,1,22,5,3,0,0,0,0,0,3,1,1
Unvalidated,2021010287530,2021,010287530,1,1,1,1,33,6,3,0,0,0,0,0,1,1,2
Unvalidated,2021010287531,2021,010287531,1,1,3,1,42,7,3,1,1,0,0,0,0,1,2
Unvalidated,2021010287534,2021,010287534,1,1,1,1,48,8,3,0,0,0,0,0,3,1,4
Unvalidated,2021010287538,2021,010287538,1,1,1,1,20,4,2,0,0,0,0,0,4,1,5
Unvalidated,2021010287538,2021,010287538,1,2,2,1,19,4,2,0,0,0,0,0,4,1,1
Unvalidated,2021010287540,2021,010287540,2,1,1,1,34,6,3,0,0,0,0,0,90,1,5
Unvalidated,2021010287542,2021,010287542,1,1,3,2,51,8,2,8,9,0,0,0,0,1,5
Unvalidated,2021010287546,2021,010287546,1,1,1,1,54,8,2,0,0,0,0,0,3,1,4
Unvalidated,2021010287547,2021,010287547,1,1,3,1,34,6,3,9,5,0,0,0,0,1,2
Unvalidated,2021010287554,2021,010287554,1,1,1,1,-1,-1,3,0,0,0,0,0,3,1,1
Unvalidated,2021010287555,2021,010287555,1,1,1,1,55,8,3,0,0,0,0,0,1,1,7
Unvalidated,2021010287569,2021,010287569,1,1,1,2,44,7,3,0,0,0,0,0,9,1,3
Unvalidated,2021010287574,2021,010287574,1,1,2,2,67,10,3,0,0,0,4,0,11,1,2
Unvalidated,2021010287577,2021,010287577,1,1,1,2,71,10,2,0,0,0,0,0,9,1,4
Unvalidated,2021010287580,2021,010287580,1,1,1,2,53,8,3,0,0,0,0,0,9,1,1
Unvalidated,2021010287582,2021,010287582,1,1,1,2,21,5,3,0,0,0,0,0,1,1,2
Unvalidated,2021010287591,2021,010287591,2,1,1,1,20,4,3,0,0,0,0,0,1,-1,-1
Unvalidated,2021010287596,2021,010287596,1,1,1,2,52,8,3,0,0,0,0,0,9,1,2
Unvalidated,2021010287597,2021,010287597,1,1,1,1,36,7,3,0,0,0,0,0,3,1,10
Unvalidated,2021010287598,2021,010287598,1,1,3,1,45,7,3,10,9,0,0,0,0,1,5
Unvalidated,2021010287600,2021,010287600,1,1,1,2,41,7,3,0,0,0,0,0,9,1,2
Unvalidated,2021010287601,2021,010287601,1,1,3,1,21,5,3,5,3,0,0,0,0,1,1
Unvalidated,2021010287604,2021,010287604,1,1,1,2,21,5,3,0,0,0,0,0,9,1,2
Unvalidated,2021010287607,2021,010287607,1,1,1,1,39,7,3,0,0,0,0,0,3,1,1
Unvalidated,2021010287609,2021,010287609,1,1,3,2,88,11,3,5,3,0,0,0,0,1,6
Unvalidated,2021010287612,2021,010287612,1,1,3,1,57,9,3,1,9,0,0,0,0,1,3
Unvalidated,2021010287613,2021,010287613,2,1,1,1,21,5,3,0,0,0,0,0,3,1,3
